"","Date_monthrounded","AvgCa_mg.L","AvgMg_mg.L","AvgNa_mg.L","AvgSpC_uS.cm"
"339",2004-03-01,NA,NA,NA,NA
"340",2004-04-01,NA,NA,NA,NA
"341",2004-05-01,NA,NA,NA,NA
"342",2004-06-01,NA,NA,NA,NA
"343",2004-07-01,NA,NA,NA,NA
"344",2004-08-01,NA,NA,NA,NA
"345",2004-09-01,NA,NA,NA,NA
"346",2004-10-01,NA,NA,NA,NA
"347",2004-11-01,NA,NA,NA,NA
"348",2004-12-01,NA,NA,NA,NA
"349",2005-01-01,NA,NA,NA,NA
"350",2005-02-01,NA,NA,NA,NA
"351",2005-03-01,NA,NA,NA,NA
"352",2005-04-01,NA,NA,NA,NA
"353",2005-05-01,NA,NA,NA,NA
"354",2005-06-01,NA,NA,NA,NA
"355",2005-07-01,NA,NA,NA,NA
"356",2005-08-01,NA,NA,NA,NA
"357",2005-09-01,NA,NA,NA,NA
"358",2005-10-01,NA,NA,NA,NA
"359",2005-11-01,NA,NA,NA,NA
"360",2005-12-01,NA,NA,NA,NA
"361",2006-01-01,NA,NA,NA,NA
"362",2006-02-01,NA,NA,NA,NA
"363",2006-03-01,NA,NA,NA,NA
"364",2006-04-01,NA,NA,NA,NA
"365",2006-05-01,NA,NA,NA,NA
"366",2006-06-01,NA,NA,NA,NA
"367",2006-07-01,NA,NA,NA,NA
"368",2006-08-01,NA,NA,NA,NA
"369",2006-09-01,NA,NA,NA,NA
"370",2006-10-01,NA,NA,NA,NA
"371",2006-11-01,NA,NA,NA,NA
"372",2006-12-01,NA,NA,NA,NA
"373",2007-01-01,NA,NA,NA,NA
"374",2007-02-01,NA,NA,NA,NA
"375",2007-03-01,NA,NA,NA,95.5
"376",2007-04-01,NA,NA,NA,97
"377",2007-05-01,NA,NA,NA,146.5
"378",2007-06-01,NA,NA,NA,NA
"379",2007-07-01,NA,NA,NA,NA
"380",2007-08-01,NA,NA,NA,NA
"381",2007-09-01,NA,NA,NA,NA
"382",2007-10-01,NA,NA,NA,NA
"383",2007-11-01,NA,NA,NA,NA
"384",2007-12-01,NA,NA,NA,NA
"385",2008-01-01,NA,NA,NA,NA
"386",2008-02-01,NA,NA,NA,NA
"387",2008-03-01,NA,NA,NA,NA
"388",2008-04-01,NA,NA,NA,NA
"389",2008-05-01,NA,NA,NA,140
"390",2008-06-01,NA,NA,NA,NA
"391",2008-07-01,NA,NA,NA,NA
"392",2008-08-01,NA,NA,NA,213
"393",2008-09-01,NA,NA,NA,NA
"394",2008-10-01,NA,NA,NA,172
"395",2008-11-01,NA,NA,NA,168
"396",2008-12-01,NA,NA,NA,94
"397",2009-01-01,NA,NA,NA,152
"398",2009-02-01,NA,NA,NA,147
"399",2009-03-01,NA,NA,NA,NA
"400",2009-04-01,NA,NA,NA,NA
"401",2009-05-01,NA,NA,NA,NA
"402",2009-06-01,NA,NA,NA,NA
"403",2009-07-01,NA,NA,NA,NA
"404",2009-08-01,NA,NA,NA,NA
"405",2009-09-01,NA,NA,NA,139
"406",2009-10-01,NA,NA,NA,196
"407",2009-11-01,NA,NA,NA,NA
"408",2009-12-01,NA,NA,NA,NA
"409",2010-01-01,NA,NA,NA,68
"410",2010-02-01,NA,NA,NA,NA
"411",2010-03-01,NA,NA,NA,NA
"412",2010-04-01,NA,NA,NA,NA
"413",2010-05-01,NA,NA,NA,NA
"414",2010-06-01,NA,NA,NA,193
"415",2010-07-01,NA,NA,NA,NA
"416",2010-08-01,NA,NA,NA,NA
"417",2010-09-01,NA,NA,NA,NA
"418",2010-10-01,NA,NA,NA,NA
"419",2010-11-01,NA,NA,NA,NA
"420",2010-12-01,NA,NA,NA,NA
"421",2011-01-01,NA,NA,NA,NA
"422",2011-02-01,NA,NA,NA,NA
"423",2011-03-01,NA,NA,NA,NA
"424",2011-04-01,NA,NA,NA,NA
"425",2011-05-01,NA,NA,NA,NA
"426",2011-06-01,NA,NA,NA,221
"427",2011-07-01,NA,NA,NA,NA
"428",2011-08-01,NA,NA,NA,NA
"429",2011-09-01,NA,NA,NA,NA
"430",2011-10-01,NA,NA,NA,NA
"431",2011-11-01,NA,NA,NA,NA
"432",2011-12-01,NA,NA,NA,NA
"433",2012-01-01,NA,NA,NA,NA
"434",2012-02-01,NA,NA,NA,NA
"435",2012-03-01,NA,NA,NA,NA
"436",2012-04-01,NA,NA,NA,NA
"437",2012-05-01,NA,NA,NA,117
"438",2012-06-01,NA,NA,NA,NA
"439",2012-07-01,NA,NA,NA,NA
"440",2012-08-01,NA,NA,NA,NA
"441",2012-09-01,NA,NA,NA,NA
"442",2012-10-01,9.46,3.05,19.8,176
"443",2012-11-01,10.175,3.23,22.15,201
"444",2012-12-01,10.7,3.56,27.3,234
"445",2013-01-01,7.065,2.735,11.8,135
"446",2013-02-01,7.39,2.85,10.9,129
"447",2013-03-01,6.95,2.58,11.45,128.5
"448",2013-04-01,6.98,2.48,12.1,130
"449",2013-05-01,6.525,2.555,12.35,121
"450",2013-06-01,6.81,2.99,13.9,141
"451",2013-07-01,5.295,2.09,6.76,92
"452",2013-08-01,6.22,2.54,7.86,106
"453",2013-09-01,6.32,2.265,11.87,121.5
"454",2013-10-01,9.45,3,17.9,171
"455",2013-11-01,8.975,3.21,19.9,180
"456",2013-12-01,6.06,2.39,10.2,116
